workset,bytes,nodes,iters,threads,opt,mode,depth,instructions,cycles,branches,branch-misses,instructions_stddev,cycles_stddev,branches_stddev,branch-misses_stddev,cycles_per_iter,cycles_per_iter_stddev
L1,32768,2048,2000000,1,O2,guarded,8,147190230.0,80293679.0,44591041.0,21518.0,29438.046000000002,3854096.5919999997,4459.1041000000005,430.36,40.1468395,1.927048296
L1,32768,2048,2000000,1,O2,contract,8,88937578.0,32690876.0,18545911.0,18693.0,8893.7578,179799.818,1854.5911,328.9968,16.345438,0.089899909
L1,32768,2048,2000000,2,O2,guarded,8,291697586.0,110987956.0,88669104.0,22794.0,58339.517199999995,5183137.5452,8866.9104,403.4538,27.746989,1.2957843862999998
L1,32768,2048,2000000,2,O2,contract,8,175343047.0,66879314.0,36608296.0,21099.0,35068.6094,2949377.7474,3660.8296,417.76019999999994,16.7198285,0.7373444368500001
L1,32768,2048,2000000,4,O2,guarded,8,580601684.0,217508213.0,176808986.0,27954.0,58060.168399999995,3349626.4801999996,0.0,455.6502,27.188526625,0.41870331002499994
L1,32768,2048,2000000,4,O2,contract,8,348213469.0,155013607.0,72742364.0,26063.0,0.0,1581138.7914000002,0.0,398.7639,19.376700875,0.19764234892500002
L1,32768,2048,2000000,8,O2,guarded,8,1160299918.0,703268853.0,353416339.0,42355.0,116029.9918,12940146.8952,35341.6339,1058.875,43.9543033125,0.80875918095
L1,32768,2048,2000000,8,O2,contract,8,695456675.0,529114230.0,145271817.0,38168.0,69545.6675,7090130.682,14527.1817,740.4592,33.069639375,0.443133167625
L2,262144,16384,1000000,1,O2,guarded,8,76213099.0,62530124.0,22710299.0,20768.0,15242.6198,1738337.4472,2271.0299,625.1167999999999,62.530124,1.7383374472000002
L2,262144,16384,1000000,1,O2,contract,8,47079762.0,49598675.0,9687130.0,21358.0,14123.9286,649742.6425,2906.1389999999997,185.81459999999998,49.598675,0.6497426424999999
L2,262144,16384,1000000,2,O2,guarded,8,149713936.0,117311122.0,44903797.0,24300.0,44914.1808,1689280.1568,8980.7594,298.89,58.655561,0.8446400784
L2,262144,16384,1000000,2,O2,contract,8,91515724.0,88756975.0,18868885.0,23460.0,18303.1448,2715963.435,3773.777,499.698,44.3784875,1.3579817175
