workset,bytes,nodes,iters,opt,mode,depth,instructions,cycles,branches,branch-misses,cycles_per_iter
L1,32768,2048,5000000,O2,guarded,2,183194701.0,75872170.0,50585457.0,19342.0,15.174434
L1,32768,2048,5000000,O2,guarded,3,213312128.0,79907425.0,60607164.0,17950.0,15.981485
L1,32768,2048,5000000,O2,guarded,5,273506976.0,95367789.0,80640404.0,20365.0,19.0735578
L1,32768,2048,5000000,O2,guarded,8,363556427.0,104837242.0,110647013.0,19899.0,20.9674484
L1,32768,2048,5000000,O2,contract,2,142927739.0,53466796.0,30542380.0,17649.0,10.6933592
L1,32768,2048,5000000,O2,contract,3,168058733.0,61993799.0,35564941.0,18929.0,12.3987598
L1,32768,2048,5000000,O2,contract,5,193106029.0,68887510.0,40572489.0,15792.0,13.777502
L1,32768,2048,5000000,O2,contract,8,218110441.0,70493912.0,45572414.0,18701.0,14.0987824
L1,32768,2048,5000000,O3,guarded,2,188098589.0,72789592.0,50569768.0,16530.0,14.5579184
L1,32768,2048,5000000,O3,guarded,3,218410921.0,80380793.0,60623580.0,19630.0,16.0761586
L1,32768,2048,5000000,O3,guarded,5,281137491.0,111539026.0,81150061.0,32643.0,22.3078052
L1,32768,2048,5000000,O3,guarded,8,369987233.0,118503057.0,110922870.0,27062.0,23.7006114
L1,32768,2048,5000000,O3,contract,2,147960830.0,44258417.0,30547016.0,17636.0,8.8516834
L1,32768,2048,5000000,O3,contract,3,173223364.0,59767916.0,35592489.0,17619.0,11.9535832
L1,32768,2048,5000000,O3,contract,5,198052764.0,62209603.0,40561291.0,18587.0,12.4419206
L1,32768,2048,5000000,O3,contract,8,222974216.0,61530452.0,45549365.0,17594.0,12.3060904
L2,262144,16384,3000000,O2,guarded,2,111981341.0,50851166.0,30666643.0,18500.0,16.950388666666665
L2,262144,16384,3000000,O2,guarded,3,130294172.0,74936212.0,36719466.0,20279.0,24.978737333333335
L2,262144,16384,3000000,O2,guarded,5,166421485.0,96451700.0,48741980.0,18197.0,32.15056666666667
