workset,bytes,nodes,iters,mode,depth,instructions,cycles,branches,branch-misses,cycles_per_iter
L1,256,256,5000000,guarded,2,419506836.0,305919829.0,107360767.0,3709790.0,61.1839658
L1,256,256,5000000,guarded,3,460047919.0,333725945.0,107958051.0,4670917.0,66.745189
L1,256,256,5000000,guarded,5,511197167.0,347546701.0,121642291.0,4838730.0,69.5093402
L1,256,256,5000000,guarded,8,758179703.0,425078895.0,172019000.0,5600400.0,85.015779
L1,256,256,5000000,guarded,16,981642849.0,594679976.0,270980380.0,6647774.0,118.9359952
L2,256,256,3000000,guarded,2,318989276.0,322951948.0,72614826.0,4645587.0,107.65064933333333
L2,256,256,3000000,guarded,3,346171820.0,327124591.0,76313554.0,5106109.0,109.04153033333333
L2,256,256,3000000,guarded,5,424480623.0,404730352.0,92357196.0,6728727.0,134.91011733333335
L2,256,256,3000000,guarded,8,559403144.0,421397951.0,124027376.0,6513530.0,140.46598366666666
L2,256,256,3000000,guarded,16,658943989.0,488046053.0,176211352.0,6411563.0,162.68201766666667
