workset,bytes,nodes,iters,mode,depth,instructions,cycles,branches,branch-misses,cycles_per_iter
L1,32768,1365,5000000,guarded,2,698422332.0,317052076.0,136147322.0,1733764.0,63.4104152
L1,32768,1365,5000000,contract,2,600482464.0,281843894.0,117097266.0,1842918.0,56.3687788
L1,32768,1365,5000000,guarded,3,719237459.0,315562090.0,137402822.0,1861756.0,63.112418
L1,32768,1365,5000000,contract,3,710612920.0,308595125.0,131850983.0,1656398.0,61.719025
L1,32768,1365,5000000,guarded,5,740622744.0,330493752.0,135571376.0,1866996.0,66.0987504
L1,32768,1365,5000000,contract,5,708217596.0,359333206.0,128851953.0,3062716.0,71.8666412
L1,32768,1365,5000000,guarded,8,878857098.0,378400466.0,171472445.0,1646271.0,75.6800932
L1,32768,1365,5000000,contract,8,808337448.0,374868639.0,153751958.0,1604197.0,74.9737278
L2,262144,10922,3000000,guarded,2,533921146.0,354486817.0,104388107.0,1796426.0,118.16227233333333
L2,262144,10922,3000000,contract,2,487391911.0,315256933.0,96409522.0,1489431.0,105.08564433333333
L2,262144,10922,3000000,guarded,3,646850921.0,409277645.0,125499161.0,1817527.0,136.42588166666667
L2,262144,10922,3000000,contract,3,542710903.0,365133679.0,103536384.0,1638735.0,121.71122633333333
L2,262144,10922,3000000,guarded,5,685558498.0,487798757.0,128601547.0,2120862.0,162.59958566666666
L2,262144,10922,3000000,contract,5,575663600.0,412478178.0,108164117.0,1490380.0,137.492726
L2,262144,10922,3000000,guarded,8,651042899.0,553271267.0,128285950.0,1581175.0,184.42375566666666
L2,262144,10922,3000000,contract,8,643177203.0,549728862.0,123669045.0,1781883.0,183.242954
L3,8388608,349525,1000000,guarded,2,507764851.0,698860583.0,96599754.0,2566555.0,698.860583
L3,8388608,349525,1000000,contract,2,450431196.0,647160834.0,85773692.0,2185474.0,647.160834
L3,8388608,349525,1000000,guarded,3,459667485.0,729624235.0,86927443.0,2295951.0,729.624235
L3,8388608,349525,1000000,contract,3,504775223.0,759976307.0,94889026.0,2532142.0,759.976307
L3,8388608,349525,1000000,guarded,5,532928180.0,990732727.0,99426913.0,2658103.0,990.732727
L3,8388608,349525,1000000,contract,5,513872074.0,939504647.0,96204506.0,2527694.0,939.504647
L3,8388608,349525,1000000,guarded,8,567714854.0,1277462292.0,108101376.0,2599014.0,1277.462292
L3,8388608,349525,1000000,contract,8,568349541.0,1269416285.0,107583978.0,2608270.0,1269.416285
DRAM,67108864,2796202,500000,guarded,2,740228920.0,1562942050.0,131474870.0,3814180.0,3125.8841
DRAM,67108864,2796202,500000,contract,2,778820661.0,1564177814.0,138769168.0,3779473.0,3128.355628
DRAM,67108864,2796202,500000,guarded,3,764465149.0,1734863196.0,135732117.0,3875160.0,3469.726392
DRAM,67108864,2796202,500000,contract,3,749914039.0,1649818128.0,132575029.0,3892774.0,3299.636256
DRAM,67108864,2796202,500000,guarded,5,798394471.0,1932031139.0,141678264.0,3981915.0,3864.062278
DRAM,67108864,2796202,500000,contract,5,745347770.0,1850201192.0,131363369.0,3859307.0,3700.402384
DRAM,67108864,2796202,500000,guarded,8,790577585.0,2381622730.0,140990833.0,4006103.0,4763.24546
DRAM,67108864,2796202,500000,contract,8,769709245.0,2236193700.0,136511462.0,3930142.0,4472.3874
