workset,bytes,nodes,iters,mode,depth,instructions,cycles,branches,branch-misses,cycles_per_iter
L1,32768,8192,5000000,guarded,2,489263634.0,238816479.0,114992253.0,1332757.0,47.7632958
L1,32768,8192,5000000,contract,2,460298934.0,229809293.0,93102585.0,1200085.0,45.9618586
L1,32768,8192,5000000,guarded,3,525929233.0,237498845.0,116253740.0,1298938.0,47.499769
L1,32768,8192,5000000,contract,3,600519448.0,283491039.0,125965489.0,1768147.0,56.6982078
L1,32768,8192,5000000,guarded,5,662203469.0,305293663.0,146902091.0,2018707.0,61.0587326
L1,32768,8192,5000000,contract,5,596738634.0,265790742.0,132028908.0,1664789.0,53.1581484
L1,32768,8192,5000000,guarded,8,736979443.0,299116277.0,186769314.0,1513805.0,59.8232554
L1,32768,8192,5000000,contract,8,854173585.0,376497173.0,206322980.0,1980955.0,75.2994346
L2,262144,65536,3000000,guarded,2,501280697.0,301571950.0,104568888.0,1881326.0,100.52398333333333
L2,262144,65536,3000000,contract,2,532157998.0,342662083.0,112612790.0,2202110.0,114.22069433333333
L2,262144,65536,3000000,guarded,3,524074079.0,321585463.0,109182878.0,2035285.0,107.19515433333333
L2,262144,65536,3000000,contract,3,606284064.0,375420110.0,122432045.0,2397891.0,125.14003666666666
L2,262144,65536,3000000,guarded,5,572908182.0,392000008.0,122304305.0,2236209.0,130.66666933333335
L2,262144,65536,3000000,contract,5,590447523.0,402927296.0,122544334.0,2227058.0,134.30909866666667
L2,262144,65536,3000000,guarded,8,680533449.0,491423854.0,157162999.0,2386828.0,163.80795133333334
L2,262144,65536,3000000,contract,8,672441231.0,479114592.0,153951756.0,2117131.0,159.704864
L3,8388608,2097152,1000000,guarded,2,559378348.0,558210381.0,106829128.0,3187827.0,558.210381
L3,8388608,2097152,1000000,contract,2,518373113.0,558656075.0,99133231.0,3160684.0,558.656075
L3,8388608,2097152,1000000,guarded,3,611351815.0,679265078.0,117403615.0,3740078.0,679.265078
L3,8388608,2097152,1000000,contract,3,582811298.0,623944030.0,111281765.0,3422103.0,623.94403
L3,8388608,2097152,1000000,guarded,5,569194522.0,685556435.0,110830589.0,3328163.0,685.556435
L3,8388608,2097152,1000000,contract,5,618161713.0,750414388.0,119624855.0,3722382.0,750.414388
L3,8388608,2097152,1000000,guarded,8,671495716.0,1003420059.0,135253111.0,3827105.0,1003.420059
L3,8388608,2097152,1000000,contract,8,681294517.0,1103476637.0,137143828.0,3857262.0,1103.476637
DRAM,67108864,16777216,500000,guarded,2,1479916874.0,3304464288.0,261127652.0,10570657.0,6608.928576
DRAM,67108864,16777216,500000,contract,2,1468943752.0,3344457644.0,258595653.0,10863002.0,6688.915288
DRAM,67108864,16777216,500000,guarded,3,1488246629.0,3384930269.0,263472044.0,11076025.0,6769.860538
DRAM,67108864,16777216,500000,contract,3,1509323141.0,3318435830.0,266497509.0,11092580.0,6636.87166
DRAM,67108864,16777216,500000,guarded,5,1461002201.0,3463150643.0,259040664.0,10901359.0,6926.301286
DRAM,67108864,16777216,500000,contract,5,1477004509.0,3513744744.0,261128719.0,10904006.0,7027.489488
DRAM,67108864,16777216,500000,guarded,8,1523182196.0,3646329581.0,272379640.0,11216083.0,7292.659162
DRAM,67108864,16777216,500000,contract,8,1533263889.0,3750996530.0,274830966.0,11187826.0,7501.99306
